Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.765	10875	1.0	25.641	0.236%	2.992	0.235%	1e-05	1.0
SP.Syn.Abst.766	8262	1.0	24.344	0.295%	2.816	0.291%	1e-05	1.0
SP.Syn.Abst.767	5951	1.0	22.731	0.382%	2.83	0.398%	2e-05	1.0
SP.Syn.Abst.768	9670	1.0	23.289	0.241%	2.691	0.237%	1e-05	1.0
SP.Syn.Abst.769	7941	1.0	22.538	0.284%	2.744	0.295%	1e-05	1.0
SP.Syn.Abst.770	8667	1.0	21.872	0.252%	2.687	0.261%	1e-05	1.0
SP.Syn.Abst.771	17743	1.0	23.885	0.135%	2.94	0.141%	0.0	1.0
SP.Syn.Abst.772	6432	1.0	23.969	0.373%	2.806	0.37%	1e-05	1.0
SP.Syn.Abst.773	12174	1.0	24.405	0.2%	2.921	0.207%	0.0	1.0
SP.Syn.Abst.774	7811	1.0	23.862	0.305%	2.81	0.309%	1e-05	1.0
SP.Syn.Abst.775	10088	1.0	26.448	0.262%	3.169	0.264%	1e-05	1.0
SP.Syn.Abst.776	7167	1.0	24.376	0.34%	2.851	0.342%	1e-05	1.0
SP.Syn.Abst.777	4813	1.0	25.69	0.534%	2.988	0.536%	3e-05	1.0
SP.Syn.Abst.778	12002	1.0	23.201	0.193%	2.81	0.202%	0.0	1.0
SP.Syn.Abst.779	6364	1.0	22.77	0.358%	2.713	0.367%	2e-05	1.0
SP.Syn.Abst.780	11954	1.0	23.455	0.196%	2.839	0.205%	1e-05	1.0
SP.Syn.Abst.781	27628	1.0	26.962	0.098%	3.321	0.101%	0.0	1.0
SP.Syn.Abst.782	6154	1.0	23.91	0.389%	2.851	0.388%	2e-05	1.0
SP.Syn.Abst.783	15248	1.0	25.815	0.169%	3.112	0.176%	0.0	1.0
SP.Syn.Abst.784	9620	1.0	24.289	0.252%	2.834	0.251%	1e-05	1.0
SP.Syn.Abst.785	12341	1.0	24.305	0.197%	2.978	0.201%	0.0	1.0
SP.Syn.Abst.786	10647	1.0	23.062	0.217%	2.825	0.229%	1e-05	1.0
